"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.064833388,0.021357143,0.525,10.16883147,0.0412125,0.03,,0.007174971,0.138973478,0.03,0.581076084,2.165283291,0.511247444,0.413593438,,,0,0.031,0.2,0.600445287,3.87384056
0.050665038,0,0.525,8.394185429,0.0412125,0.0412125,,0.014613355,0.233651836,0.0412125,0.658943556,2.974557921,0.702326176,0.568173985,,,0,0.052,0.25,0.831424081,3.997231157
0.041844911,0,0.525,7.233889713,0.0412125,0.0412125,,0.019243922,0.265158875,0.0412125,0.567860342,2.974557921,0.702326176,0.568173985,,,0,0.058,0.26,0.799172578,3.582497763
0.035790932,0,0.525,6.40596241,0.0412125,0.0412125,,0.022422261,0.273592686,0.0412125,0.502868049,2.974557921,0.702326176,0.568173985,,,0,0.061,0.3,0.744311823,3.660549949
0.03043177,0,0.525,5.646680499,0.0412125,0.0412125,,0.025235821,0.271425937,0.0412125,0.443264419,2.974557921,0.702326176,0.568173985,,,0,0.07,0.34,0.752890733,3.656897847
0.096997089,0.057357143,0.525,13.91076577,0.0601125,0.03,,0.009189028,0.243478898,0.03,0.794900901,2.165283291,0.511247444,0.413593438,,,0,0.032,0.14,0.847894295,3.70953754
0.062604079,0.019261905,0.525,9.895821928,0.0601125,0.05,,0.027245359,0.513552796,0.05,0.942459231,3.608805485,0.852079073,0.689322396,,,0,0.06,0.2,1.130951078,3.769836925
0.046919138,0,0.525,7.907390403,0.0601125,0.0601125,,0.035479952,0.534388258,0.0601125,0.905396201,4.338686395,1.024412065,0.828737851,,,0,0.081,0.25,1.219997376,3.765424001
0.035790932,0,0.525,6.40596241,0.0601125,0.0601125,,0.041322261,0.504207333,0.0601125,0.733482696,4.338686395,1.024412065,0.828737851,,,0,0.092,0.35,1.122568651,4.270641607
0.109654973,0.05847619,0.525,15.30322543,0.0777,0.047,,0.020131139,0.586802585,0.047,1.370003039,3.392277156,0.800954329,0.647963052,,,0,0.064,0.19,1.865536053,5.538310157
0.082963881,0.043238095,0.525,12.31866204,0.0777,0.055,,0.034143962,0.80115797,0.055,1.2905265,3.969686034,0.93728698,0.758254636,,,0,0.082,0.22,1.924057691,5.162106
0.069853619,0.024190476,0.525,10.77614493,0.0777,0.065,,0.04102685,0.84211673,0.065,1.334189372,4.691447131,1.107702795,0.896119115,,,0,0.095,0.25,1.949969082,5.131497585
0.055125548,0.001333333,0.525,8.963546564,0.0777,0.077,,0.048759087,0.832484471,0.077,1.314653496,5.557560447,1.312201772,1.06155649,,,0,0.118,0.27,2.014663799,4.609823947
0.018291019,0.0185,1.5,13.87526394,0.093,0.06525,,,0,0.06525,0.603573981,4.601226994,2.879904665,2.879904665,,,0,0.298,0.9,2.756552435,8.325158361
0.021568085,0.024,1.5,15.77283159,0.093,0.057,,,0,0.057,0.5993676,4.019462661,2.515778788,2.515778788,,,0,0.2354,0.725,2.475283037,7.623535268
0.033039775,0.0446,1.5,21.97728027,0.093,0.0261,,,0,0.0261,0.382404677,1.840490798,1.151961866,1.151961866,,,0,0.1587,0.5,2.325196253,7.325760091
0.040460698,0.0524,1.5,25.72856166,0.093,0.0144,,,0,0.0144,0.246994192,1.015443199,0.635565167,0.635565167,,,0,0.0958,0.35,1.643197472,6.003331055
0.025892457,0.0387,1.5,18.18173928,0.093,0.03495,,,0,0.03495,0.423634525,2.464565263,1.542569625,1.542569625,,,0,0.1814,0.6,2.198778336,7.27269571
0.026114235,0.0252,1.5,18.30274974,0.12,0.0822,,,0,0.0822,1.002990686,5.796488259,3.628017831,3.628017831,,,0,0.2316,0.5,2.82594456,6.100916581
0.033039775,0.0377,1.5,21.97728027,0.12,0.06345,,,0,0.06345,0.929638956,4.474296594,2.800459019,2.800459019,,,0,0.1907,0.45,2.794044899,6.593184082
0.021568085,0.0205,1.5,15.77283159,0.12,0.08925,,,0,0.08925,0.938483479,6.293632325,3.939179944,3.939179944,,,0,0.2562,0.6,2.693999635,6.309132635
0.018291019,0.0161,1.5,13.87526394,0.12,0.09585,,,0,0.09585,0.886629365,6.759043791,4.230480646,4.230480646,,,0,0.2751,0.7,2.544723406,6.47512317
0.029280918,0.0287,1.5,20.00680041,0.12,0.07695,,,0,0.07695,1.026348861,5.426274593,3.396301364,3.396301364,,,0,0.2085,0.46,2.780945257,6.135418792
